"Day","ID_experiment","Sequence_order","Sequence","Minute","N","P","Fish_number","Fish_biomass","total_bites_trial","Total_bites_minute","fish_eating_minute","initial_weight","control_before","control_after","final_weight","A_cons_tot","A_cons_min","C","P_biomass_kg_m2"
"14/06/2019",6,"5_3_1_4_2",5,2,0.025,0.106,63,8814,275,43,6,15.73,15.37,12.86,6.27,7.91513337670787,1.23763903708523,0.206273172847539,0.0148
"14/06/2019",6,"5_3_1_4_2",5,3,0.025,0.106,63,8814,275,9,2,15.73,15.37,12.86,6.27,7.91513337670787,0.259040728692258,0.129520364346129,0.0148
"14/06/2019",6,"5_3_1_4_2",5,4,0.025,0.106,63,8814,275,15,4,15.73,15.37,12.86,6.27,7.91513337670787,0.431734547820429,0.107933636955107,0.0148
"14/06/2019",6,"5_3_1_4_2",5,5,0.025,0.106,63,8814,275,12,2,15.73,15.37,12.86,6.27,7.91513337670787,0.345387638256344,0.172693819128172,0.0148
"14/06/2019",6,"5_3_1_4_2",5,6,0.025,0.106,63,8814,275,19,2,15.73,15.37,12.86,6.27,7.91513337670787,0.546863760572544,0.273431880286272,0.0148
"14/06/2019",6,"5_3_1_4_2",5,7,0.025,0.106,63,8814,275,5,2,15.73,15.37,12.86,6.27,7.91513337670787,0.143911515940143,0.071955757970072,0.0148
"14/06/2019",6,"5_3_1_4_2",5,8,0.025,0.106,63,8814,275,0,0,15.73,15.37,12.86,6.27,7.91513337670787,0,0,0.0148
"14/06/2019",6,"5_3_1_4_2",5,9,0.025,0.106,63,8814,275,17,7,15.73,15.37,12.86,6.27,7.91513337670787,0.489299154196487,0.069899879170927,0.0148
"14/06/2019",6,"5_3_1_4_2",5,10,0.025,0.106,63,8814,275,27,4,15.73,15.37,12.86,6.27,7.91513337670787,0.777122186076773,0.194280546519193,0.0148
"14/06/2019",6,"5_3_1_4_2",5,11,0.025,0.106,63,8814,275,9,2,15.73,15.37,12.86,6.27,7.91513337670787,0.259040728692258,0.129520364346129,0.0148
"14/06/2019",6,"5_3_1_4_2",5,12,0.025,0.106,63,8814,275,2,1,15.73,15.37,12.86,6.27,7.91513337670787,0.057564606376057,0.057564606376057,0.0148
"14/06/2019",6,"5_3_1_4_2",5,13,0.025,0.106,63,8814,275,0,0,15.73,15.37,12.86,6.27,7.91513337670787,0,0,0.0148
"14/06/2019",6,"5_3_1_4_2",5,14,0.025,0.106,63,8814,275,28,4,15.73,15.37,12.86,6.27,7.91513337670787,0.805904489264802,0.2014761223162,0.0148
"14/06/2019",6,"5_3_1_4_2",5,15,0.025,0.106,63,8814,275,10,1,15.73,15.37,12.86,6.27,7.91513337670787,0.287823031880286,0.287823031880286,0.0148
"14/06/2019",7,"5_3_1_4_2",3,1,0.05,0.106,63,8814,288,65,11,30.44,30.68,26.96,19.01,10.0440938722295,2.26689618644068,0.206081471494607,0.0148
"14/06/2019",7,"5_3_1_4_2",3,2,0.05,0.106,63,8814,288,39,4,30.44,30.68,26.96,19.01,10.0440938722295,1.36013771186441,0.340034427966102,0.0148
"14/06/2019",7,"5_3_1_4_2",3,3,0.05,0.106,63,8814,288,33,3,30.44,30.68,26.96,19.01,10.0440938722295,1.15088575619296,0.383628585397653,0.0148
